word,displayText
use,use
import,important
risk,risk
present,present
work,work
peopl,people
contact,contact
help,help
pra,pra
output,output
analysi,analysis
know,know
report,report
get,get
interest,interest
need,need
read,read
receiv,receive
firm,firm
staff,staff
success,success
issu,issue
provid,provide
bank,bank
good,good
time,time
less,less
particular,particular
awar,aware
relat,relate
understand,understand
area,area
key,key
make,make
new,new
polici,policy
data,data
develop,develop
integr,integrate
want,want
chang,change
fpc,fpc
much,much
abl,able
clear,clear
coverag,coverage
gather,gather
mpc,mpc
note,note
extern,external
focus,focus
intellig,intelligence
level,level
structur,structure
term,term
think,think
alway,always
differ,different
expect,expect
meet,meet
number,number
particip,participate
requir,require
see,see
via,via
view,view
agenda,agenda
around,around
collect,collect
convers,conversation
dont,dont
even,even
member,member
produc,produce
rather,rather
way,way
week,week
agent,agent
approach,approach
better,better
governor,governor
identifi,identify
includ,include
like,like
outsid,outside
suggest,suggest
board,board
cover,cover
individu,individual
influenc,influence
may,may
might,might
possibl,possible
potenti,potential
price,price
question,question
relev,relevant
senior,senior
topic,topic
activ,active
current,current
engag,engage
equiti,equities
impact,impact
lot,lot
materi,material
movement,movement
must,must
narrat,narrative
order,order
perspect,perspective
prempc,prempc
round,round
system,system
team,team
tell,tell
avail,available
avoid,avoid
daili,daily
event,event
everyth,everything
improv,improve
interpret,interpret
look,look
model,model
now,now
other,other
process,process
product,product
recent,recent
recognis,recognise
respons,response
say,say
themat,theme
valu,value
access,access
benefit,benefit
broad,broad
central,central
close,close
commod,commodities
escal,escalation
find,find
format,format
give,give
given,given
inform,inform
manag,manage
pass,pass
person,person
point,point
posit,position
prefer,prefer
rang,rang
relationship,relationship
someon,someone
theme,theme
ask,ask
balanc,balance
becom,become
believ,believe
breadth,breadth
call,call
cant,cant
detail,detail
ensur,ensure
explain,explain
first,first
idea,idea
knowledg,knowledge
object,object
prioriti,priority
public,public
right,right
role,role
run,run
sometim,sometimes
sourc,source
speak,speak
stabil,stable
strong,strong
take,take
type,type
without,without
asset,asset
best,best
certain,certain
channel,channel
consid,consider
contain,contain
crucial,crucial
didnt,didnt
enough,enough
expertis,expertise
flow,flow
forward,forward
found,found
fundament,fundamental
general,general
horizon,horizon
institut,institution
interact,interact
just,just
line,line
page,page
place,place
previous,previous
push,push
reaction,reaction
real,real
sens,sense
set,set
share,share
short,short
supervis,supervise
told,told
year,year
analyt,analyt
appli,appli
challeng,challeng
comfort,comfort
committe,committe
concern,concern
conduct,conduct
consum,consum
crisi,crisi
direct,direct
discret,discret
discuss,discuss
draw,draw
especi,especi
granular,granular
head,head
hod,hod
increas,increas
insight,insight
instrument,instrument
involv,involv
london,london
long,long
mandat,mandat
memo,memo
messag,messag
month,month
move,move
natur,natur
open,open
past,past
pick,pick
raw,raw
regular,regular
resourc,resourc
second,second
sector,sector
supervisor,supervisor
talk,talk
wide,wide
worri,worri
amount,amount
analyst,analyst
appropri,appropri
bit,bit
brief,brief
calibr,calibr
carri,carri
case,case
comment,comment
consist,consist
control,control
cost,cost
cultur,cultur
custom,custom
due,due
economist,economist
effect,effect
effici,effici
explan,explan
exposur,exposur
feed,feed
filter,filter
fix,fix
fund,fund
furthermor,furthermor
happen,happen
high,high
incom,incom
indepth,indepth
keep,keep
longer,longer
mad,mad
noth,noth
obtain,obtain
often,often
overal,overal
paper,paper
part,part
piec,piec
prefpc,prefpc
probabl,probabl
qualiti,qualiti
rais,rais
reason,reason
regul,regul
seen,seen
similar,similar
small,small
specif,specif
spot,spot
sterl,sterl
stori,stori
stress,stress
supervisori,supervisori
synthesis,synthesis
though,though
understood,understood
valuabl,valuabl
whole,whole
wider,wider
worth,worth
writeup,writeup
addit,addit
allow,allow
alreadi,alreadi
anecdot,anecdot
aspect,aspect
assess,assess
behind,behind
bigger,bigger
build,build
capit,capit
colour,colour
combin,combin
come,come
confid,confid
context,context
corpor,corpor
difficult,difficult
distil,distil
distinct,distinct
done,done
drawn,drawn
easi,easi
econom,econom
establish,establish
experi,experi
featur,featur
fed,fed
feel,feel
framework,framework
frequent,frequent
fsr,fsr
function,function
futur,futur
greater,greater
hed,hed
hous,hous
inde,inde
intern,intern
job,job
keen,keen
larg,larg
learn,learn
limit,limit
matter,matter
miss,miss
morn,morn
necessari,necessari
news,news
observ,observ
opinion,opinion
organis,organis
period,period
pull,pull
qualit,qualit
queri,queri
rank,rank
rate,rate
reach,reach
regulatori,regulatori
request,request
result,result
separ,separ
serv,serv
start,start
substanti,substanti
support,support
systemat,systemat
tend,tend
thing,thing
togeth,togeth
tradit,tradit
trend,trend
trust,trust
undertak,undertak
wish,wish
world,world
wrong,wrong
accept,accept
achiev,achiev
act,act
adequ,adequ
agre,agre
announc,announc
anyth,anyth
aris,aris
attend,attend
attent,attent
author,author
back,back
basi,basi
behaviour,behaviour
broker,broker
busi,busi
charter,charter
chines,chines
circular,circular
condit,condit
connect,connect
constant,constant
constraint,constraint
continu,continu
couldnt,couldnt
cut,cut
decid,decid
deliv,deliv
deliveri,deliveri
demand,demand
difficulti,difficulti
director,director
discount,discount
divorc,divorc
doesnt,doesnt
drew,drew
economi,economi
emerg,emerg
equal,equal
everyon,everyon
exampl,exampl
exist,exist
eye,eye
feedback,feedback
follow,follow
form,form
frequenc,frequenc
fresh,fresh
front,front
fssr,fssr
gain,gain
great,great
hand,hand
harder,harder
health,health
hedg,hedg
highlight,highlight
hindsight,hindsight
horizonscan,horizonscan
incorpor,incorpor
induct,induct
inflat,inflat
instead,instead
investig,investig
join,join
judgment,judgment
junior,junior
knew,knew
len,len
light,light
listen,listen
littl,littl
macro,macro
mark,mark
measur,measur
mindi,mindi
minut,minut
mitig,mitig
moment,moment
msm,msm
necessarili,necessarili
nois,nois
nonbank,nonbank
occur,occur
offic,offic
oil,oil
oper,oper
opportun,opportun
option,option
outcom,outcom
perhap,perhap
phone,phone
power,power
principl,principl
privat,privat
programm,programm
prompt,prompt
protect,protect
put,put
rare,rare
reactiv,reactiv
reader,reader
reduc,reduc
rose,rose
saw,saw
scope,scope
script,script
seamless,seamless
seem,seem
sensit,sensit
session,session
show,show
signific,signific
silo,silo
skill,skill
sophist,sophist
sought,sought
specialist,specialist
state,state
subject,subject
subscrib,subscrib
summari,summari
summaris,summaris
synthesi,synthesi
technic,technic
that,that
theoret,theoret
top,top
trade,trade
trader,trader
transpar,transpar
tri,tri
turn,turn
uniqu,uniqu
visit,visit
wall,wall
warn,warn
what,what
whilst,whilst
will,will
wisdom,wisdom
write,write
written,written
young,young
abil,abil
absorb,absorb
accompani,accompani
actual,actual
advantag,advantag
agenc,agenc
ago,ago
ajb,ajb
alert,alert
alloc,alloc
analog,analog
appear,appear
appetit,appetit
arriv,arriv
ascrib,ascrib
assert,assert
assumpt,assumpt
audienc,audienc
avid,avid
away,away
bailey,bailey
band,band
base,base
bias,bias
big,big
blend,blend
blind,blind
blindsid,blindsid
break,break
bring,bring
broader,broader
buildingmaintain,buildingmaintain
burden,burden
care,care
chart,chart
chris,chris
circumst,circumst
cite,cite
commerci,commerci
commiss,commiss
common,common
communic,communic
compar,compar
complet,complet
comprehens,comprehens
conclus,conclus
conduc,conduc
confus,confus
construct,construct
crash,crash
credit,credit
dark,dark
date,date
daytoday,daytoday
decis,decis
defin,defin
delet,delet
depth,depth
describ,describ
desk,desk
despit,despit
digest,digest
dismiss,dismiss
divid,divid
dri,dri
driver,driver
earli,earli
easier,easier
edit,edit
element,element
entail,entail
esoter,esoter
everi,everi
excess,excess
exchang,exchang
expand,expand
exploit,exploit
expos,expos
favour,favour
fill,fill
firmspecif,firmspecif
fit,fit
flag,flag
flagship,flagship
fls,fls
followup,followup
fora,fora
free,free
freedom,freedom
fsb,fsb
full,full
fulli,fulli
global,global
gossip,gossip
group,group
growth,growth
gun,gun
hard,hard
hardwir,hardwir
hes,hes
hide,hide
histor,histor
hold,hold
ideal,ideal
ignor,ignor
impress,impress
inclin,inclin
indic,indic
